Open,Close,High,Low,Volume,Date
126.5,126.16,127.16,124.47,1,205,642.00,05/24/23
126.39,125.5,127.56,125.37,678,359.00,05/23/23
123.06,125.18,126.33,123,1,442,758.00,05/22/23
124.16,123.04,124.92,122.27,980,162.00,05/19/23
119.75,122.81,122.97,118.76,880,730.00,05/18/23
119.39,120.39,121.24,117.72,1,228,561.00,05/17/23
120.5,117.81,121.41,117.77,882,855.00,05/16/23
120.17,121.27,122.3,119.26,1,205,856.00,05/15/23
119.1,119.02,119.65,117.13,1,108,603.00,05/12/23
117.37,117.92,118.57,116.86,1,200,498.00,05/11/23
120.28,119.31,120.78,118.05,817,704.00,05/10/23
119.23,120,121.35,118.55,897,229.00,05/09/23
123.4,120.66,124.1,120.44,1,091,734.00,05/08/23
119.93,120.33,121.58,119.55,1,171,590.00,05/05/23
118.08,116.28,119.68,115.9,1,748,832.00,05/04/23
118.24,118.05,120.3,117.45,1,668,070.00,05/03/23
124.3,120.4,124.39,118.61,1,454,699.00,05/02/23
125.27,126.22,127.41,124.8,1,141,613.00,05/01/23
124.08,127.11,128.14,123.18,1,580,453.00,04/28/23
123.27,123.79,124.6,121.69,1,145,455.00,04/27/23
124.44,122.84,125.34,121.96,1,362,645.00,04/26/23
127.59,125.02,127.7,124.53,1,178,052.00,04/25/23
126.36,129.24,129.82,126.2,924,487.00,04/24/23
128.53,126.91,128.69,126.26,901,613.00,04/21/23
128.16,128.02,128.83,126.74,1,063,984.00,04/20/23
129.38,130.08,130.12,127.76,1,494,398.00,04/19/23
131.89,131.56,131.98,130.18,818,938.00,04/18/23
134.82,132.01,134.95,131.54,1,122,249.00,04/17/23
134.5,134.42,135.52,133.2,803,306.00,04/14/23
133.37,134.54,135.43,133.04,1,192,710.00,04/13/23
135.66,133.74,135.67,133.48,566,343.00,04/12/23
133.54,134.84,135.3,132.67,986,432.00,04/11/23
131.59,133,134.34,131.59,820,456.00,04/10/23
131.64,130.2,131.96,130.07,865,264.00,04/06/23
131.01,132.06,132.18,129.18,1,087,837.00,04/05/23
134.71,130.8,134.71,128.9,1,087,666.00,04/04/23
133.46,133.88,135.03,131.28,2,267,719.00,04/03/23
127,127.59,128.13,126.41,774,911.00,03/31/23
127.36,126,127.55,125.07,1,035,227.00,03/30/23
126.32,126.11,126.71,125,893,246.00,03/29/23
122.51,124.69,125.89,122.3,1,105,568.00,03/28/23
121.6,123.08,123.79,119.39,1,414,082.00,03/27/23
116.34,119.72,120.22,115.29,1,006,203.00,03/24/23
121.64,118.48,122.96,117.17,1,665,300.00,03/23/23
123.62,120.26,124.61,120.21,839,120.00,03/22/23
122,123.58,124.28,121.49,1,083,913.00,03/21/23
117.51,119.42,120.68,117.15,2,036,839.00,03/20/23
119.7,117.66,120.1,115.92,2,104,551.00,03/17/23
114.65,120.25,120.36,114.19,2,752,796.00,03/16/23
120.01,117.03,120.4,114.27,2,773,847.00,03/15/23
124.79,124.94,129,122.57,2,255,745.00,03/14/23
124.35,124.14,127.98,121.66,2,678,463.00,03/13/23
130.66,128.04,132.81,127.44,1,917,396.00,03/10/23
134.74,130.69,136.99,130.62,1,462,364.00,03/09/23
135.21,133.98,137.61,132.34,2,113,684.00,03/08/23
137.84,136.08,138.31,135.45,1,396,260.00,03/07/23
139.86,138.39,139.86,137.89,1,721,215.00,03/06/23
135.97,141.14,141.8,135.29,1,841,167.00,03/03/23
135.48,137.85,138.55,134.24,845,938.00,03/02/23
132.3,135.99,136.5,131.93,1,213,732.00,03/01/23
136.59,132.97,136.85,132.87,1,121,629.00,02/28/23
134.72,134.97,136.06,133.18,846,014.00,02/27/23
130.66,134.2,134.55,129.35,1,232,065.00,02/24/23
131.15,132.39,133.13,129.75,1,025,882.00,02/23/23
128.82,128.53,130.29,126.68,1,356,499.00,02/22/23
130.05,128.67,131.12,128.23,1,074,059.00,02/21/23
134.54,130.62,134.59,129.74,1,982,253.00,02/17/23
138.08,136.5,139.83,136.45,671,492.00,02/16/23
138.47,138.32,138.5,135.49,1,416,004.00,02/15/23
138.46,140.63,141.11,137.89,702,174.00,02/14/23
139.67,139.82,140.82,137.99,752,082.00,02/13/23
135.49,140.8,140.88,135.49,1,406,241.00,02/10/23
136.15,133.81,136.42,133.62,663,874.00,02/09/23
137.72,135.93,138.57,134.43,827,907.00,02/08/23
133.28,137.6,137.77,132.1,1,191,172.00,02/07/23
134.86,132.26,136.04,130.97,954,990.00,02/06/23
135.86,134.95,139.19,134.75,1,675,093.00,02/03/23
137.74,135.56,138.28,133.73,1,658,395.00,02/02/23
140.12,137.7,140.5,134.2,1,421,835.00,02/01/23
138.78,140.97,141.28,137.94,624,168.00,01/31/23
141.58,138.83,142.09,138.74,1,254,000.00,01/30/23
145.57,143.47,146.73,143.36,680,684.00,01/27/23
143.46,145.45,145.55,141.35,1,256,322.00,01/26/23
141.13,142.04,142.09,138.82,660,823.00,01/25/23
143.62,142.19,143.62,141.41,1,283,110.00,01/24/23
143.09,143.74,145.01,142.21,872,297.00,01/23/23
140.5,141.7,141.92,138.69,2,053,728.00,01/20/23
136.21,139.69,140.26,135.9,830,752.00,01/19/23
140.64,137.02,143.26,136.92,1,236,014.00,01/18/23
140.46,139.75,141.59,138.87,586,560.00,01/17/23
138.2,139.09,139.46,136.32,423,212.00,01/13/23
135.68,138.36,139.49,135.36,798,005.00,01/12/23
135.03,134.39,135.27,132.48,582,445.00,01/11/23
133.01,133.35,133.745,130.37,672,954.00,01/10/23
134.73,132.9,136,132.56,916,993.00,01/09/23
130.81,131.56,133,130.14,689,370.00,01/06/23
128.14,128.92,130.01,126.8,1,036,672.00,01/05/23
125.97,128.73,130.07,125.45,1,342,646.00,01/04/23
134.03,128.28,135.35,126.72,1,527,119.00,01/03/23
134.03,135.88,136.07,133.96,371,958.00,12/30/22
131.55,135.22,135.79,131.38,499,489.00,12/29/22
137.66,132.37,137.66,131.99,872,246.00,12/28/22
138.25,138.52,139.04,137,567,161.00,12/27/22
133.92,137.62,137.66,133.3,897,706.00,12/23/22
136.76,132.51,136.76,129.45,1,436,573.00,12/22/22
